date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:16:04	13642/13642	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:16:04%20GMT	http://www.ericryananderson.com/project/paramore	C:/My%20Web%20Sites/Website/www.ericryananderson.com/project/paramore.html	(from http://www.ericryananderson.com/)
20:16:04	8375/8375	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Feb%202018%2023:16:11%20GMT	http://ericryananderson.imgix.net/siteGray/570_ericryananderson_paramore_001.png	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/siteGray/570_ericryananderson_paramore_001.png	(from http://www.ericryananderson.com/)
20:16:05	887/887	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Apr%202018%2022:12:06%20GMT	http://ericryananderson.imgix.net/siteGray/570_ericryananderson_tracksmithgif.png	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/siteGray/570_ericryananderson_tracksmithgif.png	(from http://www.ericryananderson.com/)
20:16:05	2471764/2471764	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Jul%202018%2012:01:33%20GMT	http://ericryananderson.imgix.net/570_ericryananderson_paramore_001.jpg	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/570_ericryananderson_paramore_001.jpg	(from http://www.ericryananderson.com/)
20:16:06	20880/20880	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:16:05%20GMT	http://www.ericryananderson.com/project/scarborough-downs	C:/My%20Web%20Sites/Website/www.ericryananderson.com/project/scarborough-downs.html	(from http://www.ericryananderson.com/)
20:16:06	7862/7862	---M--	200	added ('OK')	image/png	date:Fri,%2004%20May%202018%2014:52:12%20GMT	http://ericryananderson.imgix.net/siteGray/570_era_scarborough.png	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/siteGray/570_era_scarborough.png	(from http://www.ericryananderson.com/)
20:16:06	814283/814283	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Jul%202018%2015:23:26%20GMT	http://ericryananderson.imgix.net/570_era_scarborough.jpg	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/570_era_scarborough.jpg	(from http://www.ericryananderson.com/)
20:16:06	23421/23421	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:16:06%20GMT	http://www.ericryananderson.com/project-grid/rayland-baxter	C:/My%20Web%20Sites/Website/www.ericryananderson.com/project-grid/rayland-baxter.html	(from http://www.ericryananderson.com/)
20:16:06	4472/4472	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Oct%202017%2018:22:14%20GMT	http://ericryananderson.imgix.net/siteGray/570_anderson_rbaxter_011.png	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/siteGray/570_anderson_rbaxter_011.png	(from http://www.ericryananderson.com/)
20:16:06	7479236/7479236	---M--	200	added ('OK')	image/gif	etag:%22721fc4-5692136747587%22	http://www.ericryananderson.com/images/pics/570_ericryananderson_tracksmithgif.gif	C:/My%20Web%20Sites/Website/www.ericryananderson.com/images/pics/570_ericryananderson_tracksmithgif.gif	(from http://www.ericryananderson.com/)
20:16:06	188602/188602	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2019:15:53%20GMT	http://ericryananderson.imgix.net/570_anderson_rbaxter_011.jpg	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/570_anderson_rbaxter_011.jpg	(from http://www.ericryananderson.com/)
20:16:07	19293/19293	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:16:07%20GMT	http://www.ericryananderson.com/project/ernest-alexander	C:/My%20Web%20Sites/Website/www.ericryananderson.com/project/ernest-alexander.html	(from http://www.ericryananderson.com/)
20:16:07	17217/17217	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Nov%202017%2015:57:16%20GMT	http://ericryananderson.imgix.net/siteGray/570_era_ernestalexander_2017_139.png	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/siteGray/570_era_ernestalexander_2017_139.png	(from http://www.ericryananderson.com/)
